Created at [Route Purchase],Price [Route Purchase],Id [Route],Title [Route],Type [Payment],Id [User]
"January 01, 2025 11:28",9.99,4230,Derrie Danders: Highlights of the Walled City,InAppPurchase,387542
"January 01, 2025 11:29",7.99,3910,Fushimi Inari Shrine: An In-Depth Guide,AndroidPayment,386445
"January 01, 2025 11:30",5.99,9641,Funchal’s Historic Heart: A Journey through Time with a Local ,CouponRedemptionResellerReply,387544
"January 01, 2025 11:32",9.99,3351,Montmartre: More than Meets the Eye,InAppPurchase,385061
"January 01, 2025 11:32",11.99,9679,King Krešimir’s Old Town: A Šibenik Walking Tour,AndroidPayment,387267
"January 01, 2025 11:37",7.99,5218,Highlights of Cork: The Rebel City on the River Lee,CouponRedemptionResellerReply,387545
"January 01, 2025 11:38",11.99,1761,Reykjavik Revealed: A Tour of its Main Sights and Hidden Gems,StripePayment,387547
"January 01, 2025 11:42",11.99,6829,Unknown Bruges Walking Tour: A Journey to the Heart of the Medieval Metropole,InAppPurchase,387549
"January 01, 2025 11:43",11.99,6829,Unknown Bruges Walking Tour: A Journey to the Heart of the Medieval Metropole,InAppPurchase,387551
"January 01, 2025 11:43",7.99,9630,Hidden Brussels: A Local‘s Guide to Secret Places and Untold Stories,InAppPurchase,285400
"January 01, 2025 11:44",4.99,1152,Explore the Old City with a friend,CouponRedemptionResellerReply,387550
"January 01, 2025 11:48",9.99,9406,City of Caliphs: A Guide to Córdoba’s Layered History,CouponRedemptionResellerReply,387552
"January 01, 2025 11:49",7.99,4183,The Best of Bristol: A Guide to the Old City and its Brilliant Pubs,CouponRedemption,386701
"January 01, 2025 11:58",11.99,3852,Historic Krakow: A Journey through the Medieval Old Town and Wawel Castle,StripePayment,387555
"January 01, 2025 12:03",11.99,11114,Discover Delft: A Tour through its Golden Age,CouponRedemptionPaid,387557
"January 01, 2025 12:05",11.99,3852,Historic Krakow: A Journey through the Medieval Old Town and Wawel Castle,InAppPurchase,387546
"January 01, 2025 12:11",9.99,10595,Rome’s Medieval Village: A Trastevere Walking Tour,InAppPurchase,387560
"January 01, 2025 12:13",9.99,4976,Unveiling Geneva's Timeless Charms: A Journey Through Old Town's Rich History,InAppPurchase,287353
"January 01, 2025 12:14",9.99,3751,Walk the old town of Vilnius: from Cathedral Square to the Gate of Dawn,CouponRedemptionResellerReply,387563
"January 01, 2025 12:14",9.99,7903,Rome and the Renaissance: A Tour from the Vatican City to Piazza di Spagna,InAppPurchase,387499
"January 01, 2025 12:14",11.99,3852,Historic Krakow: A Journey through the Medieval Old Town and Wawel Castle,InAppPurchase,387553
"January 01, 2025 12:20",8.99,11217,"Konstanz’s Old Town: A Stroll through 1,000 Years of History",CouponRedemptionResellerReply,387565
"January 01, 2025 12:26",0.0,1095,Cape Point Audio Guide: Lighthouse Walk,FreePayment,387567
"January 01, 2025 12:27",11.99,7544,Memorials and Monuments: A walking tour from the Reichstag to Potsdam Square,InAppPurchase,281913
"January 01, 2025 12:37",9.99,7368,The History of Power in Modern Rome: A Walking Tour in the Ancient City,AndroidPayment,385247
"January 01, 2025 12:41",14.99,6911,"Ronda, Andalucia's 'city of dreams': A walking tour",CouponRedemptionResellerReply,387570
"January 01, 2025 12:41",0.0,1095,Cape Point Audio Guide: Lighthouse Walk,FreePayment,387569
"January 01, 2025 12:41",11.99,3857,The Magic of Bruges: A Guide to its Legends and Hidden Treasures,InAppPurchase,387568
"January 01, 2025 12:44",11.99,9679,King Krešimir’s Old Town: A Šibenik Walking Tour,AndroidPayment,387270
"January 01, 2025 12:45",14.99,9995,Run the Thames Bridges Half Marathon,CouponRedemptionPaid,387571
"January 01, 2025 12:46",9.99,3917,"A Frankfurt Meander: Goethe, Finance and Wurst",CouponRedemptionResellerReply,387572
"January 01, 2025 12:51",0.0,1095,Cape Point Audio Guide: Lighthouse Walk,FreePayment,376530
"January 01, 2025 12:56",14.99,6911,"Ronda, Andalucia's 'city of dreams': A walking tour",StripePayment,387575
"January 01, 2025 13:03",7.99,3718,"Lisbon’s historic neighbourhoods: a walk through Baixa, Mouraria and Graça",InAppPurchase,385960
"January 01, 2025 13:06",7.99,4520,A History of Witchcraft in Scotland: From Holyrood Palace to Edinburgh Castle,CouponRedemptionResellerReply,387307
"January 01, 2025 13:06",11.99,7544,Memorials and Monuments: A walking tour from the Reichstag to Potsdam Square,InAppPurchase,387577
"January 01, 2025 13:10",7.99,9557,Die Freiburger Altstadt: Ein Spaziergang vom Rathausplatz zum Schwabentor,CouponRedemptionResellerReply,387579
"January 01, 2025 13:11",11.99,1951,The Heart of Vienna,InAppPurchase,387580
"January 01, 2025 13:12",11.99,1951,The Heart of Vienna,InAppPurchase,387578
"January 01, 2025 13:15",9.99,5961,"The Best of Nice’s Old Town: Highlights, Legends and Secret Spots",StripePayment,385193
"January 01, 2025 13:16",11.99,3852,Historic Krakow: A Journey through the Medieval Old Town and Wawel Castle,StripePayment,387582
"January 01, 2025 13:18",9.99,8813,Fantastic Florence Sights: Michelangelo Terrace and San Miniato Basilica,InAppPurchase,386185
"January 01, 2025 13:19",6.99,782,Walk with a witch in 16th century Bergen,InAppPurchase,387548
"January 01, 2025 13:21",9.99,3680,Exploring Prague's Jewish Quarter,InAppPurchase,386921
"January 01, 2025 13:25",6.99,4435,Geneva’s Left Bank: From the Flower Clock to the Escalade Fountain,StripePayment,383114
"January 01, 2025 13:25",9.99,4976,Unveiling Geneva's Timeless Charms: A Journey Through Old Town's Rich History,StripePayment,383114
"January 01, 2025 13:25",6.99,3768,A Lakeside Stroll from Brunswick Monument to the Botanical Garden,StripePayment,383114
"January 01, 2025 13:25",6.99,5109,A Stroll Through Carouge: Geneva's Little Italy,StripePayment,383114
"January 01, 2025 13:26",0.0,1447,Upper Cableway Station Audio Guide: Tabletop Walking Tour,FreePayment,387586
"January 01, 2025 13:32",11.99,3105,"Romans, Vikings and Medieval Marvels: A Walk Through York’s History",CouponRedemptionResellerReply,387589
"January 01, 2025 13:33",19.99,9418,Lisbon’s Iconic Tiles: A Walking Tour with Context,InAppPurchase,386585
"January 01, 2025 13:38",19.99,9633,Shakespeare’s London: A Walking Tour with Context,InAppPurchase,380306
"January 01, 2025 13:45",0.0,1095,Cape Point Audio Guide: Lighthouse Walk,FreePayment,387252
"January 01, 2025 13:48",7.99,5218,Highlights of Cork: The Rebel City on the River Lee,CouponRedemptionResellerReply,387593
"January 01, 2025 13:52",19.99,10594,Yosemite National Park via Highway 140 (Chinese),CouponRedemptionPaid,387594
"January 01, 2025 13:54",9.99,3680,Exploring Prague's Jewish Quarter,InAppPurchase,386938
"January 01, 2025 13:56",7.99,5218,Highlights of Cork: The Rebel City on the River Lee,CouponRedemptionResellerReply,387596
"January 01, 2025 14:02",4.99,10693,"Rome’s Colosseum with Context: A Guide to its Games, Architecture, and History",AndroidPayment,256650
"January 01, 2025 14:06",9.99,3823,Munich Through the Centuries: Highlights of the Historic City Centre,InAppPurchase,384848
"January 01, 2025 14:07",9.99,3823,Munich Through the Centuries: Highlights of the Historic City Centre,InAppPurchase,385271
"January 01, 2025 14:08",6.99,1924,Multicultural Madrid Walking Tour: from Plaza Mayor to Lavapiés,InAppPurchase,271039
"January 01, 2025 14:10",19.99,10594,Yosemite National Park via Highway 140 (Chinese),CouponRedemptionPaid,387597
"January 01, 2025 14:10",7.99,3718,"Lisbon’s historic neighbourhoods: a walk through Baixa, Mouraria and Graça",InAppPurchase,386297
